word,n,samp_freq
florida,5,0.0010577533319229956
illinois,5,0.0010577533319229956
indy,5,0.0010577533319229956
madison,5,0.0010577533319229956
michigan,5,0.0010577533319229956
mid,5,0.0010577533319229956
nation,5,0.0010577533319229956
national,5,0.0010577533319229956
oc,5,0.0010577533319229956
pa,5,0.0010577533319229956
radio,5,0.0010577533319229956
rock,5,0.0010577533319229956
upper,5,0.0010577533319229956
utah,5,0.0010577533319229956
vegas,5,0.0010577533319229956
viral,5,0.0010577533319229956
watch,5,0.0010577533319229956
wayne,5,0.0010577533319229956
wealth,5,0.0010577533319229956
wv,5,0.0010577533319229956
wyoming,5,0.0010577533319229956
24,4,8.462026655383964e-4
365,4,8.462026655383964e-4
allegheny,4,8.462026655383964e-4
arizona,4,8.462026655383964e-4
arkansas,4,8.462026655383964e-4
bluegrass,4,8.462026655383964e-4
carolina,4,8.462026655383964e-4
cook,4,8.462026655383964e-4
dakota,4,8.462026655383964e-4
de,4,8.462026655383964e-4
del,4,8.462026655383964e-4
du,4,8.462026655383964e-4
economy,4,8.462026655383964e-4
el,4,8.462026655383964e-4
en,4,8.462026655383964e-4
er,4,8.462026655383964e-4
fed,4,8.462026655383964e-4
feed,4,8.462026655383964e-4
fl,4,8.462026655383964e-4
flash,4,8.462026655383964e-4
ga,4,8.462026655383964e-4
grand,4,8.462026655383964e-4
health,4,8.462026655383964e-4
ia,4,8.462026655383964e-4
idaho,4,8.462026655383964e-4
island,4,8.462026655383964e-4
jeff,4,8.462026655383964e-4
kent,4,8.462026655383964e-4
last,4,8.462026655383964e-4
le,4,8.462026655383964e-4
ledger,4,8.462026655383964e-4
liberal,4,8.462026655383964e-4
mag,4,8.462026655383964e-4
md,4,8.462026655383964e-4
mountain,4,8.462026655383964e-4
natural,4,8.462026655383964e-4
nd,4,8.462026655383964e-4
newyork,4,8.462026655383964e-4
observer,4,8.462026655383964e-4
ok,4,8.462026655383964e-4
okc,4,8.462026655383964e-4
oregon,4,8.462026655383964e-4
paul,4,8.462026655383964e-4
penny,4,8.462026655383964e-4
pin,4,8.462026655383964e-4
policy,4,8.462026655383964e-4
project,4,8.462026655383964e-4
real,4,8.462026655383964e-4
region,4,8.462026655383964e-4
republic,4,8.462026655383964e-4
rs,4,8.462026655383964e-4
time,4,8.462026655383964e-4
top,4,8.462026655383964e-4
tri,4,8.462026655383964e-4
true,4,8.462026655383964e-4
twin,4,8.462026655383964e-4
underground,4,8.462026655383964e-4
union,4,8.462026655383964e-4
ville,4,8.462026655383964e-4
virginia,4,8.462026655383964e-4
vnews,4,8.462026655383964e-4
wake,4,8.462026655383964e-4
web,4,8.462026655383964e-4
western,4,8.462026655383964e-4
wichita,4,8.462026655383964e-4
12,3,6.346519991537973e-4
abcnews,3,6.346519991537973e-4
activist,3,6.346519991537973e-4
al,3,6.346519991537973e-4
alameda,3,6.346519991537973e-4
alert,3,6.346519991537973e-4
alliance,3,6.346519991537973e-4
americans,3,6.346519991537973e-4
antonio,3,6.346519991537973e-4
beach,3,6.346519991537973e-4
bergen,3,6.346519991537973e-4
boston,3,6.346519991537973e-4
broward,3,6.346519991537973e-4
bucks,3,6.346519991537973e-4
burlington,3,6.346519991537973e-4
butler,3,6.346519991537973e-4
buzz,3,6.346519991537973e-4
chester,3,6.346519991537973e-4
christian,3,6.346519991537973e-4
cleveland,3,6.346519991537973e-4
coalition,3,6.346519991537973e-4
coin,3,6.346519991537973e-4
columbus,3,6.346519991537973e-4
con,3,6.346519991537973e-4
contra,3,6.346519991537973e-4
courant,3,6.346519991537973e-4
cumberland,3,6.346519991537973e-4
david,3,6.346519991537973e-4
dayton,3,6.346519991537973e-4
